id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,change_direction
ether-fi-liquid-eth,liquideth,Ether.Fi Liquid ETH,https://coin-images.coingecko.com/coins/images/70219/large/liquideth.png?1761117977,3169.89,434960309,166,434960309,2146.78,3247.65,3169.89,-31.215766314237953,-0.97515,-4221563.027053118,-0.96123,137216.026135613,137216.026135613,,4507.99,-29.68268,2025-10-27T05:30:49.462Z,2783.66,13.87524,2025-11-21T12:32:54.263Z,,2025-11-29T06:58:16.068Z,-
astherus-staked-bnb,asbnb,Aster Staked BNB,https://coin-images.coingecko.com/coins/images/54129/large/asBNB.png?1744789305,931.88,274319881,235,274319881,244826.0,956.55,928.76,-9.717114346359836,-1.03199,-2836484.415919125,-1.02342,294430.7294031136,294430.7294031136,,1446.58,-35.59164,2025-10-13T08:47:24.976Z,326.84,185.06862,2025-03-05T16:31:21.049Z,,2025-11-29T06:58:13.571Z,-
wrapped-bitcoin,wbtc,Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/7598/large/wrapped_bitcoin_wbtc.png?1696507857,90257.0,11279844857,15,11279844857,183529372.0,92609.0,90111.0,-942.0383201772929,-1.03294,-118346068.84545135,-1.03829,124963.48883569,124963.48883569,124963.48883569,125932.0,-28.4269,2025-10-06T18:55:19.650Z,3139.17,2771.24642,2019-04-02T00:00:00.000Z,,2025-11-29T06:58:12.535Z,-
zcash,zec,Zcash,https://coin-images.coingecko.com/coins/images/486/large/circle-zcash-color.png?1696501740,467.76,7678955972,26,7681518982,790729201.0,482.82,442.53,-5.034486088860774,-1.06484,-78731293.31395721,-1.01488,16408162.6655448,16413639.2280448,21000000.0,3191.93,-85.3848,2016-10-29T00:00:00.000Z,16.08,2801.13912,2024-07-05T04:22:29.321Z,,2025-11-29T06:58:12.721Z,-
binancecoin,bnb,BNB,https://coin-images.coingecko.com/coins/images/825/large/bnb-icon2_2x.png?1696501970,879.49,121141875093,5,121141875093,1427005318.0,904.25,877.16,-9.514539655548447,-1.07025,-1388566817.3080597,-1.13324,137736379.36,137736379.36,200000000.0,1369.99,-35.83969,2025-10-13T08:41:24.131Z,0.0398177,2207438.22297,2017-10-19T00:00:00.000Z,,2025-11-29T06:58:16.426Z,-
ignition-fbtc,fbtc,Function FBTC,https://coin-images.coingecko.com/coins/images/39182/large/Function_Token_%282%29.png?1760254065,90160.0,1056066200,98,1056066200,130579.0,92461.0,89901.0,-979.1889123299188,-1.07439,-9959489.055247545,-0.93426,11731.64860718,11731.64860718,,127954.0,-28.30243,2025-10-06T12:50:40.428Z,11469.83,699.83751,2024-09-10T18:18:02.102Z,,2025-11-29T06:58:17.240Z,-
wbnb,wbnb,Wrapped BNB,https://coin-images.coingecko.com/coins/images/12591/large/binance-coin-logo.png?1696512401,879.62,1220450371,87,1220450371,555452906.0,903.84,876.82,-9.912752751459038,-1.11438,-10479327.809275866,-0.85133,1388390.956146424,1388390.956146424,,1372.03,-35.95264,2025-10-13T08:47:24.374Z,23.6,3623.03173,2020-09-24T13:48:40.532Z,,2025-11-29T06:58:12.782Z,-
bittensor,tao,Bittensor,https://coin-images.coingecko.com/coins/images/28452/large/ARUsPeNQ_400x400.jpeg?1696527447,297.32,2853033090,47,6242641424,90683333.0,310.5,296.97,-3.445201602951556,-1.14546,-32645819.750699997,-1.1313,9597491.0,21000000.0,21000000.0,757.6,-60.73731,2024-03-07T18:45:36.466Z,30.83,864.82758,2023-05-14T08:57:53.732Z,,2025-11-29T06:58:14.284Z,-
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),https://coin-images.coingecko.com/coins/images/39532/large/wbtc.png?1722810336,89839.0,729040647,120,729040647,100043242.0,92785.0,89826.0,-1227.9527649673546,-1.34841,-9567262.799930334,-1.29531,8114.41683275,8114.41683275,,126226.0,-28.71958,2025-10-06T19:06:49.202Z,49594.0,81.42193,2024-08-05T13:30:13.831Z,,2025-11-29T06:58:13.418Z,-
clbtc,clbtc,clBTC,https://coin-images.coingecko.com/coins/images/54164/large/clBTC.png?1738482999,90661.0,700192190,123,700192190,6.41,,,,,,,7723.217000000001,7723.217000000001,,129190.0,-29.8235,2025-07-24T19:16:34.717Z,51493.0,76.06463,2025-04-21T12:36:24.067Z,,2025-11-27T16:37:01.496Z,0
lorenzo-wrapped-bitcoin,enzobtc,Lorenzo Wrapped Bitcoin,https://coin-images.coingecko.com/coins/images/54447/large/enzo_btc.png?1739773963,90454.0,424833319,170,424833319,2.68,,,,,,,4696.68350443,4696.68350443,,115819.0,-21.90089,2025-10-13T22:56:57.032Z,82472.0,9.67878,2025-11-26T17:25:59.991Z,,2025-11-27T01:38:07.297Z,0
cgeth-hashkey-cloud,cgeth.hashkey,cgETH Hashkey Cloud,https://coin-images.coingecko.com/coins/images/54162/large/Cgeth_Hashkey.png?1738482570,2460.42,491909683,152,491909683,265.78,,,,,,,199929.02,199929.02,,4746.13,-48.15937,2025-08-24T19:06:16.774Z,1362.23,80.61728,2025-10-25T14:44:57.711Z,,2025-11-17T22:55:14.574Z,0
